Time	Open	High	Low	Close	Volume
2010-04-02 05:00:00	1.52575	1.52825	1.52575	1.52665	3202	19
2010-04-02 06:00:00	1.52665	1.5267	1.5261	1.5263	2027	19
2010-04-02 07:00:00	1.52625	1.5266	1.5253	1.52555	1759	17
2010-04-02 08:00:00	1.52555	1.52665	1.52515	1.52555	5231	21
2010-04-02 09:00:00	1.52555	1.5258	1.52368	1.5241	3705	15
2010-04-02 10:00:00	1.52405	1.5252	1.52375	1.5245	2936	20
2010-04-02 11:00:00	1.52445	1.5255	1.52415	1.52495	3475	20
2010-04-02 12:00:00	1.52495	1.52635	1.5222	1.5223	9499	16
2010-04-02 13:00:00	1.5223	1.5228	1.51825	1.51965	9595	14
2010-04-02 14:00:00	1.51965	1.52015	1.5182	1.51915	4782	12
2010-04-02 15:00:00	1.51915	1.51955	1.51815	1.51955	2162	18
2010-04-02 16:00:00	1.51955	1.5203	1.51865	1.52025	2084	30
2010-04-02 17:00:00	1.5203	1.52035	1.51935	1.51985	897	15
2010-04-02 18:00:00	1.5198	1.52	1.51883	1.5197	1419	23
2010-04-02 19:00:00	1.51965	1.5206	1.51946	1.52045	593	30
2010-04-02 20:00:00	1.52045	1.5216	1.5198	1.52035	650	39
2010-04-04 21:00:00	1.52815	1.5292	1.526	1.5269	515	78
2010-04-04 22:00:00	1.52685	1.52735	1.5256	1.52655	1077	23
2010-04-04 23:00:00	1.5266	1.52685	1.52515	1.52555	1045	31
2010-04-05 00:00:00	1.52555	1.52785	1.52535	1.52725	2308	21
2010-04-05 01:00:00	1.52725	1.52835	1.5271	1.528	1807	18
2010-04-05 02:00:00	1.528	1.528	1.52655	1.5267	1185	15
2010-04-05 03:00:00	1.5267	1.52715	1.52655	1.52685	839	25
2010-04-05 04:00:00	1.52685	1.52685	1.52485	1.52495	1316	31
2010-04-05 05:00:00	1.52495	1.52635	1.52435	1.5244	1567	19
2010-04-05 06:00:00	1.52445	1.5245	1.5223	1.5232	4563	17
2010-04-05 07:00:00	1.52315	1.52505	1.52275	1.52435	3032	15
2010-04-05 08:00:00	1.52435	1.5246	1.52305	1.5235	2615	17
2010-04-05 09:00:00	1.52355	1.5244	1.5232	1.5236	1769	23
2010-04-05 10:00:00	1.5236	1.52365	1.52307	1.52335	1366	18
2010-04-05 11:00:00	1.52335	1.52775	1.5233	1.52515	6625	20
2010-04-05 12:00:00	1.52515	1.52745	1.52495	1.52685	8992	20
2010-04-05 13:00:00	1.52685	1.5317	1.5268	1.53045	13964	18
2010-04-05 14:00:00	1.53055	1.5319	1.52865	1.5292	11329	24
2010-04-05 15:00:00	1.5292	1.52935	1.52625	1.5281	8700	19
2010-04-05 16:00:00	1.52815	1.5292	1.52705	1.5287	9227	17
2010-04-05 17:00:00	1.5287	1.5296	1.52715	1.5283	5967	18
2010-04-05 18:00:00	1.5283	1.52985	1.52805	1.5293	3611	22
2010-04-05 19:00:00	1.5293	1.52935	1.52735	1.528	4194	16
2010-04-05 20:00:00	1.528	1.53015	1.52795	1.52935	1799	20
2010-04-05 21:00:00	1.5293	1.52965	1.5284	1.52865	624	41
2010-04-05 22:00:00	1.5287	1.5297	1.52835	1.52965	817	23
2010-04-05 23:00:00	1.52965	1.53065	1.5278	1.5282	2354	23
2010-04-06 00:00:00	1.5282	1.5282	1.5252	1.52535	5344	21
2010-04-06 01:00:00	1.52535	1.52595	1.5229	1.52445	7431	16
2010-04-06 02:00:00	1.52445	1.5246	1.523	1.5232	3313	23
2010-04-06 03:00:00	1.5232	1.5236	1.5226	1.5227	2301	20
2010-04-06 04:00:00	1.5227	1.52405	1.52115	1.52175	3711	21
2010-04-06 05:00:00	1.52175	1.5237	1.5216	1.52355	3963	19
2010-04-06 06:00:00	1.52355	1.52425	1.52105	1.52425	11280	18
2010-04-06 07:00:00	1.52435	1.52455	1.51665	1.5189	16515	15
2010-04-06 08:00:00	1.5189	1.51965	1.5144	1.5145	14610	14
2010-04-06 09:00:00	1.5145	1.5159	1.5142	1.5148	15603	14
2010-04-06 10:00:00	1.5148	1.5178	1.5129	1.5175	14058	16
2010-04-06 11:00:00	1.5175	1.51955	1.5168	1.51715	15172	15
2010-04-06 12:00:00	1.5171	1.51885	1.5143	1.5155	12181	12
2010-04-06 13:00:00	1.5155	1.51745	1.51485	1.51725	15711	17
2010-04-06 14:00:00	1.51725	1.52025	1.51635	1.52	18002	13
2010-04-06 15:00:00	1.52	1.52385	1.51845	1.52285	18856	16
2010-04-06 16:00:00	1.52275	1.52325	1.5216	1.52315	11403	17
