Time	Open	High	Low	Close	Volume
2026-01-08 20:56:00	1.3436	1.34374	1.3436	1.34371	26	6
2026-01-08 20:57:00	1.34372	1.34372	1.34357	1.34359	51	6
2026-01-08 20:58:00	1.34358	1.34365	1.34358	1.34363	90	7
2026-01-08 20:59:00	1.34365	1.34365	1.34353	1.34361	103	8
2026-01-08 21:00:00	1.3436	1.34368	1.34359	1.34363	64	7
2026-01-08 21:01:00	1.34361	1.34369	1.34361	1.34365	79	8
2026-01-08 21:02:00	1.34362	1.34365	1.3436	1.34363	32	8
2026-01-08 21:03:00	1.34363	1.34363	1.34348	1.34356	42	8
2026-01-08 21:04:00	1.34357	1.34377	1.34354	1.34366	81	10
2026-01-08 21:05:00	1.34367	1.34367	1.34363	1.34363	8	9
2026-01-08 21:06:00	1.34363	1.3437	1.34362	1.34367	77	10
2026-01-08 21:07:00	1.34366	1.34366	1.3436	1.34364	42	10
2026-01-08 21:08:00	1.34365	1.34368	1.34365	1.34368	17	8
2026-01-08 21:09:00	1.34372	1.34377	1.34372	1.34377	48	9
2026-01-08 21:10:00	1.34378	1.34378	1.34376	1.34378	95	9
2026-01-08 21:11:00	1.34378	1.34378	1.34374	1.34378	49	9
2026-01-08 21:12:00	1.34378	1.34378	1.34372	1.34374	35	9
2026-01-08 21:13:00	1.34379	1.34379	1.34374	1.34378	17	7
2026-01-08 21:14:00	1.34379	1.34379	1.34377	1.34378	8	8
2026-01-08 21:15:00	1.3438	1.3438	1.34368	1.3437	44	9
2026-01-08 21:16:00	1.34371	1.34371	1.34369	1.34369	3	6
2026-01-08 21:17:00	1.34367	1.34368	1.34366	1.34366	6	8
2026-01-08 21:18:00	1.34367	1.3437	1.34367	1.34368	4	6
2026-01-08 21:19:00	1.34367	1.34368	1.34364	1.34366	8	6
2026-01-08 21:20:00	1.34365	1.34365	1.34365	1.34365	1	5
2026-01-08 21:21:00	1.34367	1.34368	1.34367	1.34368	2	6
2026-01-08 21:23:00	1.34366	1.34379	1.34364	1.34379	23	9
2026-01-08 21:24:00	1.34379	1.34379	1.34379	1.34379	1	6
2026-01-08 21:25:00	1.34377	1.34379	1.34374	1.34375	20	6
2026-01-08 21:26:00	1.34376	1.34376	1.3437	1.34375	14	6
2026-01-08 21:27:00	1.34373	1.34379	1.34365	1.34379	10	6
2026-01-08 21:28:00	1.34385	1.34385	1.34379	1.34381	4	6
